FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,CHN,China,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.953
Annual,COL,Colombia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.725
Annual,COM,Comoros,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.777
Annual,COD,"Congo, Dem. Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.895
Annual,COG,"Congo, Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.772
Annual,CRI,Costa Rica,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.799
Annual,CIV,Cote d'Ivoire,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.944
Annual,HRV,Croatia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.47317073
Annual,CUB,Cuba,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.085
Annual,CUW,Curacao,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.8
Annual,CYP,Cyprus,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.648
Annual,CZE,Czechia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,79.87804878
Annual,DNK,Denmark,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.85365854
Annual,DJI,Djibouti,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.987
Annual,DMA,Dominica,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.132
Annual,DOM,Dominican Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.72
Annual,ECU,Ecuador,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.392
Annual,EGY,"Egypt, Arab Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.633
Annual,SLV,El Salvador,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.099
Annual,GNQ,Equatorial Guinea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.707
Annual,ERI,Eritrea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.624
Annual,EST,Estonia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.4902439
Annual,SWZ,Eswatini,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.123
Annual,ETH,Ethiopia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.315
Annual,FRO,Faroe Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.14390244
Annual,FJI,Fiji,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.316
Annual,FIN,Finland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.68536585
Annual,FRA,France,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.92926829
Annual,PYF,French Polynesia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.07
Annual,GAB,Gabon,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.337
Annual,GMB,"Gambia, The","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.86
Annual,GEO,Georgia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.496
Annual,DEU,Germany,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.54146341
Annual,GHA,Ghana,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.498
Annual,GIB,Gibraltar,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.553
Annual,GRC,Greece,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.53658537
Annual,GRL,Greenland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.5497561
Annual,GRD,Grenada,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.205
Annual,GUM,Guam,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.209
Annual,GTM,Guatemala,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.602
Annual,GIN,Guinea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,60.74
Annual,GNB,Guinea-Bissau,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.085
Annual,GUY,Guyana,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,70.18
Annual,HTI,Haiti,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.936
Annual,HND,Honduras,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.884
Annual,HKG,"Hong Kong SAR, China","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,85.24731707
Annual,HUN,Hungary,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.77073171
Annual,ISL,Iceland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.60731707
Annual,IND,India,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.003
Annual,IDN,Indonesia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.146
Annual,IRN,"Iran, Islamic Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.654
Annual,IRQ,Iraq,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.324
Annual,IRL,Ireland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.86097561
Annual,IMN,Isle of Man,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.999
Annual,ISR,Israel,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.19512195
Annual,ITA,Italy,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.7
