REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
QAT,Qatar,"Life expectancy at birth, total (years)",Total,2023,82.368
ROU,Romania,"Life expectancy at birth, total (years)",Total,2023,76.60731707
RUS,Russian Federation,"Life expectancy at birth, total (years)",Total,2023,73.25463415
RWA,Rwanda,"Life expectancy at birth, total (years)",Total,2023,67.785
WSM,Samoa,"Life expectancy at birth, total (years)",Total,2023,71.698
SMR,San Marino,"Life expectancy at birth, total (years)",Total,2023,85.706
STP,Sao Tome and Principe,"Life expectancy at birth, total (years)",Total,2023,69.718
SAU,Saudi Arabia,"Life expectancy at birth, total (years)",Total,2023,78.732
SEN,Senegal,"Life expectancy at birth, total (years)",Total,2023,68.683
SRB,Serbia,"Life expectancy at birth, total (years)",Total,2023,76.22097561
SYC,Seychelles,"Life expectancy at birth, total (years)",Total,2023,74.95853659
SLE,Sierra Leone,"Life expectancy at birth, total (years)",Total,2023,61.786
SGP,Singapore,"Life expectancy at birth, total (years)",Total,2023,82.89512195
SXM,Sint Maarten (Dutch part),"Life expectancy at birth, total (years)",Total,2023,76.371
SVK,Slovak Republic,"Life expectancy at birth, total (years)",Total,2023,78.01707317
SVN,Slovenia,"Life expectancy at birth, total (years)",Total,2023,81.97804878
SLB,Solomon Islands,"Life expectancy at birth, total (years)",Total,2023,70.528
SOM,Somalia,"Life expectancy at birth, total (years)",Total,2023,58.816
ZAF,South Africa,"Life expectancy at birth, total (years)",Total,2023,66.139
SDS,South Sudan,"Life expectancy at birth, total (years)",Total,2023,57.617
ESP,Spain,"Life expectancy at birth, total (years)",Total,2023,83.88292683
LKA,Sri Lanka,"Life expectancy at birth, total (years)",Total,2023,77.483
KNA,St. Kitts and Nevis,"Life expectancy at birth, total (years)",Total,2023,72.145
LCA,St. Lucia,"Life expectancy at birth, total (years)",Total,2023,72.697
MAF,St. Martin (French part),"Life expectancy at birth, total (years)",Total,2023,80.224
VCT,St. Vincent and the Grenadines,"Life expectancy at birth, total (years)",Total,2023,71.23
SDN,Sudan,"Life expectancy at birth, total (years)",Total,2023,66.331
SUR,Suriname,"Life expectancy at birth, total (years)",Total,2023,73.631
SWE,Sweden,"Life expectancy at birth, total (years)",Total,2023,83.3097561
CHE,Switzerland,"Life expectancy at birth, total (years)",Total,2023,84.05609756
SYR,Syrian Arab Republic,"Life expectancy at birth, total (years)",Total,2023,72.12
TJK,Tajikistan,"Life expectancy at birth, total (years)",Total,2023,71.79
TZA,Tanzania,"Life expectancy at birth, total (years)",Total,2023,66.995
THA,Thailand,"Life expectancy at birth, total (years)",Total,2023,76.412
TLS,Timor-Leste,"Life expectancy at birth, total (years)",Total,2023,67.689
TGO,Togo,"Life expectancy at birth, total (years)",Total,2023,62.739
TON,Tonga,"Life expectancy at birth, total (years)",Total,2023,72.895
TTO,Trinidad and Tobago,"Life expectancy at birth, total (years)",Total,2023,73.49
TUN,Tunisia,"Life expectancy at birth, total (years)",Total,2023,76.508
TUR,Turkiye,"Life expectancy at birth, total (years)",Total,2023,77.156
TKM,Turkmenistan,"Life expectancy at birth, total (years)",Total,2023,70.073
TCA,Turks and Caicos Islands,"Life expectancy at birth, total (years)",Total,2023,78.008
TUV,Tuvalu,"Life expectancy at birth, total (years)",Total,2023,67.105
